,location,total_sqft,bath,price,bhk
1708,Bellandur,2039.0,3.0,168.0,3
1709,other,1198.0,2.0,84.0,2
1710,other,1370.0,2.0,75.0,2
1711,other,1316.0,2.0,55.5,2
1712,Kaggadasapura,1350.0,3.0,55.5,3
1713,other,1050.0,2.0,43.0,2
1714,KR Puram,1631.275,3.0,47.405,3
1715,Electronic City,921.0,2.0,34.0,2
1716,Kundalahalli,1010.0,2.0,49.27,2
1717,KR Puram,1015.0,2.0,43.0,2
1718,TC Palaya,1200.0,2.0,66.5,3
1719,Lakshminarayana Pura,1179.0,2.0,75.0,2
1720,Anjanapura,1850.0,4.0,86.0,4
1721,Bellandur,1605.0,3.0,85.0,3
1722,Banashankari Stage VI,2800.0,4.0,89.0,4
1723,other,2400.0,7.0,110.0,6
1724,other,1000.0,1.0,55.0,2
1725,Ramamurthy Nagar,1200.0,2.0,80.0,2
1726,Kammasandra,1200.0,2.0,66.0,2
1727,other,1200.0,2.0,50.0,2
1728,Hennur,1255.0,2.0,57.5,2
1729,Kanakpura Road,1592.0,3.0,125.0,3
1730,other,1313.0,2.0,58.27,2
1731,Kogilu,1934.0,3.0,150.0,3
1732,Harlur,1200.0,2.0,49.5,2
1733,Uttarahalli,3600.0,6.0,120.0,6
1734,Old Madras Road,935.0,2.0,45.0,2
1735,Bommasandra,877.0,2.0,30.0,2
1736,other,936.0,2.0,42.0,2
1737,Nagasandra,1470.0,2.0,110.0,3
1738,other,1050.0,1.0,70.0,1
1739,Hennur Road,1232.0,2.0,69.61,2
1740,Ambedkar Nagar,2225.0,4.0,169.0,3
1741,other,1200.0,2.0,80.0,3
1742,Dasarahalli,1901.0,3.0,119.0,3
1743,Sarjapur  Road,1819.0,3.0,100.0,3
1744,other,1464.0,3.0,56.0,3
1745,9th Phase JP Nagar,5000.0,4.0,290.0,4
1746,other,1256.0,2.0,60.0,2
1747,7th Phase JP Nagar,1100.0,2.0,44.0,2
1748,TC Palaya,4800.0,3.0,302.0,4
1749,Kothanur,1435.0,3.0,70.0,3
1750,6th Phase JP Nagar,3245.0,4.0,250.0,4
1751,Sarjapur  Road,1845.0,4.0,110.0,3
1752,Jigani,2400.0,4.0,130.0,3
1753,HSR Layout,1140.0,2.0,46.0,2
1754,Ulsoor,1200.0,2.0,60.0,2
1755,Talaghattapura,2254.0,3.0,170.0,3
1756,other,1020.0,2.0,37.0,2
1757,Bommanahalli,515.0,1.0,25.0,1
1758,Lingadheeranahalli,1893.0,3.0,140.0,3
1759,other,830.0,2.0,34.0,2
1760,Singasandra,600.0,2.0,36.5,2
1761,Kasavanhalli,1200.0,2.0,78.0,2
1762,Sarjapur  Road,1233.0,2.0,77.65,2
1763,Bannerghatta Road,1255.0,2.0,65.26,2
1764,Begur Road,1200.0,2.0,37.8,2
1765,Varthur,2145.0,3.0,175.0,3
1766,1st Phase JP Nagar,1500.0,5.0,85.0,5
1767,Kothannur,740.0,2.0,34.0,2
1768,Kengeri,1250.0,3.0,48.0,3
1769,other,1210.0,2.0,40.0,2
1770,Sarjapur  Road,1525.0,2.0,60.0,3
1771,Kogilu,540.0,1.0,36.0,1
1772,Tumkur Road,1240.0,2.0,84.0,3
1773,Subramanyapura,1245.0,2.0,68.0,3
1774,Bisuvanahalli,1075.0,2.0,35.99,3
1775,Whitefield,1155.0,2.0,60.0,2
1776,other,1520.0,2.0,62.0,2
1777,Harlur,1290.0,2.0,85.0,2
1778,other,2300.0,3.0,80.0,3
1779,Kannamangala,3000.0,4.0,200.0,4
1780,other,400.0,1.0,14.0,1
1781,Banashankari,1340.0,2.0,53.6,3
1782,Hennur Road,987.0,2.0,49.0,2
1783,Old Madras Road,1720.0,3.0,100.0,3
1784,Hebbal,1040.0,2.0,50.0,2
1785,Anandapura,900.0,2.0,64.0,2
1786,Raja Rajeshwari Nagar,1030.0,2.0,50.0,2
1787,Neeladri Nagar,2556.0,3.0,133.0,3
1788,Balagere,1028.0,2.0,31.86,2
1789,7th Phase JP Nagar,1270.0,2.0,83.0,2
1790,Sahakara Nagar,1655.0,3.0,115.0,3
1791,Electronics City Phase 1,940.0,2.0,40.0,2
1792,Domlur,1050.0,2.0,85.0,2
1793,other,946.0,2.0,38.0,2
1794,Vittasandra,1404.0,2.0,75.0,2
1795,Sarjapur,1525.0,2.0,48.0,3
1796,Kengeri,1025.0,2.0,57.0,2
1797,other,860.0,1.0,43.0,2
1798,Talaghattapura,1223.0,2.0,42.81,3
1799,Kothannur,1197.0,2.0,47.8,2
1800,Garudachar Palya,1150.0,2.0,52.75,2
1801,R.T. Nagar,1040.0,2.0,46.0,2
1802,Banashankari,1310.0,2.0,80.0,2
1803,Uttarahalli,1788.0,3.0,98.34,3
1804,Raja Rajeshwari Nagar,1144.0,2.0,38.55,2
1805,Anjanapura,1070.0,2.0,39.0,2
1806,other,1200.0,2.0,70.0,2
1807,Ambedkar Nagar,1862.0,3.0,120.0,3
1808,Margondanahalli,1200.0,2.0,58.5,2
1809,Kasavanhalli,1646.0,3.0,79.5,3
1810,Sarjapur  Road,4395.0,4.0,242.0,4
1811,Iblur Village,1995.0,3.0,135.0,3
1812,Hosakerehalli,1085.0,2.0,47.74,2
1813,Budigere,1139.0,2.0,56.8,2
1814,Haralur Road,1092.0,2.0,44.0,2
1815,Pattandur Agrahara,1767.0,3.0,98.0,3
1816,other,1700.0,3.0,80.0,3
1817,Bellandur,1692.0,3.0,88.0,3
1818,6th Phase JP Nagar,1645.0,3.0,100.0,3
1819,Uttarahalli,1345.0,2.0,57.0,3
1820,other,1100.0,2.0,60.0,2
1821,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
1822,Thigalarapalya,2072.0,4.0,150.0,3
1823,Electronics City Phase 1,2040.0,3.0,137.0,3
1824,Sarjapur  Road,1220.0,3.0,56.0,3
1825,other,1300.0,2.0,79.0,2
1826,Electronics City Phase 1,1150.0,2.0,39.0,2
1827,KR Puram,1470.0,2.0,86.0,2
1828,Hosa Road,1063.0,2.0,31.9,2
1829,other,1311.0,2.0,48.0,2
1830,other,1400.0,2.0,55.0,3
1831,Thanisandra,1430.0,2.0,56.0,3
1832,Vidyaranyapura,1060.0,2.0,55.0,2
1833,Sector 7 HSR Layout,1760.0,3.0,145.0,3
1834,Whitefield,2010.0,3.0,92.0,3
1835,Kanakpura Road,1480.0,2.0,64.23,3
1836,8th Phase JP Nagar,1230.0,2.0,43.5,3
1837,Gottigere,1300.0,3.0,65.0,3
1838,Singasandra,1100.0,2.0,52.0,2
1839,Harlur,1752.12,3.0,116.0,3
1840,Marathahalli,957.0,2.0,46.9,2
1841,Balagere,1113.0,1.0,41.9,1
1842,other,1942.0,3.0,102.0,3
1843,other,1000.0,2.0,53.0,2
1844,Yeshwanthpur,668.0,1.0,36.85,1
1845,Uttarahalli,1089.0,2.0,43.55,2
1846,Thanisandra,1800.0,3.0,90.0,3
1847,Yelahanka,1036.0,2.0,39.35,2
1848,Marathahalli,1583.0,3.0,105.0,3
1849,7th Phase JP Nagar,3300.0,4.0,150.0,4
1850,Padmanabhanagar,1100.0,2.0,65.0,2
1851,Vittasandra,1246.0,2.0,65.0,2
1852,Dodda Nekkundi,850.0,2.0,28.0,2
1853,Raja Rajeshwari Nagar,1196.0,2.0,51.51,2
1854,Thanisandra,1697.0,3.0,114.0,3
1855,TC Palaya,1000.0,2.0,64.0,2
1856,HRBR Layout,1567.0,3.0,90.0,3
1857,Anekal,1200.0,1.0,36.0,2
1858,other,950.0,2.0,45.0,2
1859,other,1022.0,2.0,52.0,2
1860,Bharathi Nagar,1322.0,2.0,68.0,2
1861,Marsur,1800.0,4.0,145.0,4
1862,Doddakallasandra,1460.0,2.0,58.39,3
1863,other,990.0,2.0,44.55,2
1864,Whitefield,1635.0,2.0,85.0,3
1865,Padmanabhanagar,3400.0,3.0,210.0,4
1866,EPIP Zone,4390.0,5.0,200.0,4
1867,other,1533.0,3.0,85.0,3
1868,Akshaya Nagar,1720.0,3.0,134.0,3
1869,Yeshwanthpur,1185.0,2.0,75.84,2
1870,Varthur Road,900.0,2.0,27.0,2
1871,Electronic City Phase II,1031.0,2.0,56.35,2
1872,Uttarahalli,1330.0,2.0,46.55,3
1873,Hennur,1259.0,2.0,57.0,2
1874,Raja Rajeshwari Nagar,1570.0,3.0,88.0,3
1875,Bisuvanahalli,1075.0,2.0,36.0,3
1876,Whitefield,1216.0,2.0,79.0,2
1877,Sarjapur  Road,1428.0,2.0,66.0,3
1878,Begur Road,1160.0,2.0,40.59,2
1879,other,1475.0,3.0,70.0,3
1880,Harlur,1754.0,3.0,135.0,3
1881,Rayasandra,1639.0,3.0,83.0,3
1882,Hennur Road,1804.0,3.0,102.0,3
1883,Whitefield,1200.0,3.0,56.2,3
1884,other,1135.0,2.0,55.0,2
1885,Begur Road,1260.0,2.0,46.62,2
1886,Hennur Road,2160.0,3.0,160.0,3
1887,Rachenahalli,1220.0,2.0,59.5,2
1888,Margondanahalli,1200.0,2.0,67.0,2
1889,Yelahanka,1300.0,2.0,65.0,2
1890,Cox Town,605.0,1.0,29.0,1
1891,Bhoganhalli,1444.0,2.0,75.97,2
1892,Amruthahalli,924.0,2.0,45.0,2
1893,Kaikondrahalli,1000.0,2.0,30.0,2
1894,Bisuvanahalli,845.0,2.0,29.0,2
1895,Kanakpura Road,700.0,2.0,35.0,2
1896,Kothanur,1187.0,2.0,58.0,2
1897,Kaggadasapura,1625.0,3.0,55.0,3
1898,Devarachikkanahalli,1200.0,2.0,83.0,2
1899,other,1452.55,2.0,110.0,2
1900,other,2357.0,3.0,151.0,3
1901,Kaval Byrasandra,1200.0,2.0,49.5,2
1902,Budigere,1139.0,2.0,56.85,2
1903,Kanakpura Road,1660.0,3.0,75.0,3
1904,Somasundara Palya,1448.0,2.0,68.0,2
1905,Kadugodi,1762.0,3.0,110.0,3
1906,Kaggadasapura,1105.0,2.0,38.65,2
1907,Yelahanka,1825.0,3.0,105.0,3
1908,Thanisandra,1185.0,2.0,43.0,2
1909,Electronic City Phase II,1320.0,2.0,38.12,3
1910,Hulimavu,1058.0,2.0,48.0,2
1911,Bellandur,1220.0,2.0,60.0,2
1912,Old Madras Road,1200.0,2.0,72.0,2
1913,Kengeri,1160.0,2.0,40.6,3
1914,other,1411.0,3.0,91.72,3
1915,Bannerghatta Road,1550.0,3.0,78.0,3
1916,Green Glen Layout,3250.0,4.0,230.0,4
1917,Haralur Road,2475.0,4.0,130.0,3
1918,Jakkur,4305.905,2.0,260.5,4
1919,7th Phase JP Nagar,2503.0,4.0,188.0,4
1920,Marathahalli,2524.0,5.0,190.0,4
1921,Kaggadasapura,1063.0,2.0,42.0,2
1922,Kanakpura Road,1077.0,2.0,37.7,2
1923,other,1200.0,3.0,44.0,2
1924,Hosakerehalli,1500.0,3.0,70.0,4
1925,Jalahalli,1045.0,2.0,76.77,2
1926,Kanakapura,1290.0,2.0,45.15,3
1927,Hoodi,1400.0,2.0,78.0,2
1928,Begur Road,1600.0,3.0,58.14,3
1929,Nagavara,1545.0,2.0,58.0,3
1930,Sarjapur  Road,1680.0,3.0,112.0,3
1931,other,1350.0,2.0,67.5,2
1932,Gottigere,950.0,2.0,38.0,2
1933,Thanisandra,1050.0,2.0,45.0,2
1934,Banashankari Stage V,1305.0,2.0,49.0,3
1935,other,1100.0,3.0,78.0,3
1936,Thanisandra,3500.0,5.0,160.0,6
1937,Begur Road,1634.0,3.0,83.33,3
1938,Prithvi Layout,1352.0,2.0,85.0,2
1939,Balagere,1145.0,2.0,65.0,2
1940,other,1240.0,2.0,43.79,2
1941,Bommasandra Industrial Area,1020.0,2.0,39.0,2
1942,Raja Rajeshwari Nagar,1168.0,2.0,61.0,2
1943,Electronic City Phase II,1205.0,2.0,75.0,2
1944,CV Raman Nagar,1028.0,2.0,49.0,2
1945,other,1175.0,2.0,48.27,2
1946,Pai Layout,1550.0,2.0,90.0,3
1947,Hoodi,2400.0,5.0,160.0,5
1948,Yelahanka,1603.0,3.0,96.0,3
1949,Marathahalli,1350.0,3.0,72.0,3
1950,KR Puram,714.0,1.0,28.0,1
1951,Whitefield,1215.0,2.0,65.0,2
1952,Malleshpalya,1405.0,2.0,77.0,3
1953,KR Puram,1142.0,2.0,51.0,2
1954,other,4000.0,4.0,170.0,4
1955,Whitefield,1870.0,3.0,90.0,3
1956,Subramanyapura,1313.0,2.0,73.0,2
1957,other,1945.0,3.0,120.0,3
1958,Thanisandra,1573.0,3.0,95.0,3
1959,Sarjapur  Road,1255.0,2.0,92.0,2
1960,Benson Town,1400.0,3.0,91.15,4
1961,Kannamangala,1235.0,2.0,43.63,2
1962,Sarjapur  Road,1380.0,2.0,52.0,3
1963,Vittasandra,1238.0,2.0,67.0,2
1964,other,1465.0,2.0,74.72,3
1965,Thigalarapalya,1418.0,2.0,103.0,2
1966,Anekal,351.0,1.0,16.0,1
1967,Uttarahalli,1279.0,2.0,48.0,2
1968,Rajaji Nagar,5257.5,2.0,424.5,4
1969,Uttarahalli,1845.0,2.0,68.27,3
1970,other,1360.0,2.0,59.27,3
1971,other,1150.0,2.0,75.0,3
1972,Whitefield,1260.0,2.0,49.5,2
1973,other,1200.0,3.0,74.0,3
1974,Dasanapura,965.0,2.0,42.5,2
1975,Hoodi,1350.0,2.0,48.0,3
1976,Bhoganhalli,1447.0,2.0,75.97,2
1977,other,1229.0,3.0,86.03,3
1978,Kudlu,1027.0,2.0,43.0,2
1979,Gottigere,1153.0,2.0,48.5,2
1980,Whitefield,4271.0,5.0,145.5,4
1981,Malleshpalya,1065.0,2.0,50.0,2
1982,other,1030.0,2.0,61.0,2
1983,Mallasandra,1340.0,2.0,61.0,2
1984,Marathahalli,4000.0,5.0,212.0,4
1985,other,600.0,1.0,32.0,1
1986,Begur Road,1410.0,2.0,44.42,3
1987,Varthur,1055.0,2.0,45.35,2
1988,Yelahanka,1304.0,2.0,79.0,2
1989,Kammasandra,990.0,2.0,31.5,2
1990,7th Phase JP Nagar,1035.0,2.0,39.33,2
1991,Tumkur Road,998.0,1.0,30.09,1
1992,Sonnenahalli,1120.0,2.0,43.0,2
1993,Haralur Road,1300.0,2.0,73.0,2
1994,Tumkur Road,1239.0,2.0,82.0,2
1995,Sarjapur  Road,1403.0,3.0,51.63,3
1996,Hosa Road,1365.0,2.0,92.0,2
1997,Subramanyapura,1130.0,2.0,45.19,3
1998,Green Glen Layout,1776.42,3.0,105.0,3
1999,Haralur Road,1194.0,2.0,47.0,2
2000,other,1107.0,2.0,33.0,2
2001,Nagavara,2319.0,3.0,180.0,3
2002,other,1520.0,3.0,80.0,3
2003,Kannamangala,1536.0,3.0,89.0,3
2004,other,3000.0,4.0,240.0,4
2005,other,1050.0,2.0,38.0,2
2006,Hoodi,1850.0,3.0,146.0,3
2007,Billekahalli,1112.0,2.0,62.0,2
2008,Marathahalli,1535.0,3.0,72.5,3
2009,Kanakpura Road,1050.0,2.0,35.0,2
2010,7th Phase JP Nagar,1250.0,3.0,65.0,3
2011,Kalena Agrahara,1187.0,2.0,52.0,2
2012,9th Phase JP Nagar,1164.0,2.0,56.0,2
2013,Electronic City Phase II,1395.0,2.0,62.78,3
2014,Arekere,2072.0,3.0,108.0,3
2015,Kanakpura Road,1450.0,3.0,60.91,3
2016,Bannerghatta Road,1550.0,3.0,82.0,3
2017,other,1315.0,2.0,90.0,2
2018,Hebbal,3067.0,4.0,230.0,4
2019,other,1210.0,2.0,72.0,2
2020,Bisuvanahalli,1075.0,2.0,47.0,3
2021,other,1215.0,3.0,42.2,3
2022,Kaggadasapura,1470.0,2.0,75.0,3
2023,other,30000.0,4.0,2100.0,4
2024,Hosur Road,1590.0,2.0,125.0,3
2025,Kanakpura Road,1050.0,2.0,36.75,2
2026,Raja Rajeshwari Nagar,1306.0,2.0,55.91,2
2027,other,1445.0,3.0,64.0,3
2028,Sarjapur  Road,1220.0,3.0,58.0,3
2029,Sarjapur,3190.0,3.0,160.0,4
2030,Ramagondanahalli,1215.0,2.0,51.26,2
2031,Budigere,1920.0,2.0,88.0,3
2032,Dodda Nekkundi,1390.0,2.0,60.0,2
2033,Hoodi,1196.0,2.0,71.74,2
2034,Bannerghatta Road,1550.0,2.0,75.0,3
2035,Thigalarapalya,1418.0,2.0,101.0,2
2036,Varthur Road,1655.0,3.0,115.0,3
2037,KR Puram,1115.0,2.0,33.45,2
2038,other,1170.0,2.0,68.0,2
2039,Anekal,1035.0,2.0,38.3,2
2040,Singasandra,1306.0,2.0,58.0,3
2041,Kengeri,750.0,2.0,22.0,2
2042,Thanisandra,1917.0,3.0,122.0,3
2043,Kaggadasapura,1615.0,3.0,58.0,3
2044,Marathahalli,1071.0,2.0,52.25,2
2045,5th Phase JP Nagar,1400.0,2.0,88.0,3
2046,Tumkur Road,1246.0,2.0,82.0,2
2047,Sarjapur,1215.0,2.0,40.0,2
2048,Munnekollal,1200.0,2.0,49.5,2
2049,Kodigehaali,1200.0,2.0,60.0,2
2050,Kaval Byrasandra,945.0,2.0,50.0,2
2051,Hormavu,1175.0,2.0,52.0,2
2052,Whitefield,920.0,2.0,63.0,2
2053,other,1600.0,2.0,110.0,2
2054,other,955.0,1.0,34.01,2
2055,Ardendale,1750.0,3.0,100.0,3
2056,Uttarahalli,1425.0,2.0,64.0,3
2057,Whitefield,1165.0,2.0,40.5,2
2058,Kaggadasapura,1050.0,2.0,48.0,2
2059,other,1370.0,2.0,75.0,3
2060,Electronic City,1374.0,2.0,72.0,3
2061,Harlur,1754.0,3.0,124.0,3
2062,Kothanur,1847.0,3.0,110.0,3
2063,Ambedkar Nagar,1850.0,4.0,139.0,3
2064,Chikka Tirupathi,3297.0,3.0,135.0,3
2065,other,1187.0,2.0,45.0,2
2066,Bommasandra Industrial Area,1400.0,2.0,40.44,3
2067,Doddaballapur,3000.0,2.0,120.0,3
2068,Thanisandra,693.0,1.0,34.3,1
2069,KR Puram,1021.0,2.0,48.0,2
2070,Thigalarapalya,1165.0,2.0,95.0,2
2071,Horamavu Agara,1756.0,3.0,92.0,3
2072,Bharathi Nagar,1739.0,3.0,105.0,3
2073,Varthur,1280.0,2.0,65.0,2
2074,Marathahalli,1215.0,2.0,58.86,2
2075,Munnekollal,950.0,2.0,46.5,2
2076,Kengeri,1082.0,2.0,49.0,3
2077,7th Phase JP Nagar,1050.0,2.0,42.0,2
2078,Devanahalli,1080.0,2.0,53.35,2
2079,Arekere,1100.0,2.0,55.0,2
2080,Ardendale,3200.0,4.0,205.0,4
2081,Sarjapur  Road,1311.0,2.0,78.0,2
2082,Raja Rajeshwari Nagar,1608.0,3.0,67.98,3
2083,Begur Road,1160.0,2.0,36.0,2
2084,Whitefield,1170.0,2.0,71.0,2
2085,Kengeri,1155.0,2.0,40.6,2
2086,Hebbal,1255.0,2.0,77.68,3
2087,Rayasandra,1065.0,2.0,44.95,2
2088,Neeladri Nagar,674.0,1.0,21.0,1
2089,Ambedkar Nagar,1936.0,4.0,126.0,3
2090,other,1100.0,2.0,38.45,2
2091,Ramagondanahalli,2257.0,4.0,157.0,3
2092,Nagarbhavi,1055.0,2.0,55.0,2
2093,Raja Rajeshwari Nagar,1530.0,3.0,51.87,3
2094,other,1700.0,3.0,97.0,3
2095,Raja Rajeshwari Nagar,1575.0,2.0,78.0,3
2096,Rajiv Nagar,1263.0,2.0,93.32,2
2097,KR Puram,2186.5,3.0,69.315,3
2098,Kengeri Satellite Town,1043.0,2.0,65.0,2
2099,Hennur,1255.0,2.0,53.5,2
2100,JP Nagar,2002.5,2.0,93.865,2
2101,Yelahanka,1550.0,3.0,120.0,3
2102,Sarjapur  Road,1220.0,3.0,56.0,3
2103,other,1360.0,3.0,55.0,3
2104,other,1100.0,2.0,75.0,2
2105,8th Phase JP Nagar,1455.0,3.0,73.31,3
2106,KR Puram,1035.0,2.0,40.5,2
2107,Harlur,1152.0,2.0,69.0,2
2108,Bellandur,1299.0,2.0,82.0,2
2109,Sarjapur  Road,1157.0,2.0,75.0,3
2110,Rachenahalli,1050.0,2.0,52.5,2
2111,Pai Layout,1050.0,2.0,40.0,2
2112,Vittasandra,1246.0,2.0,67.4,2
2113,other,1929.0,3.0,115.0,3
2114,Hennur,1285.0,2.0,60.0,2
2115,Margondanahalli,1200.0,2.0,65.0,3
2116,other,3161.0,4.0,214.0,4
2117,Sompura,1025.0,2.0,37.0,3
2118,Malleshwaram,1124.0,3.0,80.0,2
2119,Balagere,1012.0,2.0,54.59,2
2120,8th Phase JP Nagar,871.0,2.0,55.0,2
2121,other,1020.0,2.0,40.0,2
2122,Rachenahalli,1550.0,3.0,73.5,3
2123,Akshaya Nagar,1410.0,2.0,80.0,3
2124,Chikka Tirupathi,3500.0,5.0,150.0,4
2125,Whitefield,1118.0,2.0,75.0,2
2126,Thanisandra,1098.0,2.0,68.0,2
2127,Kanakapura,1130.0,2.0,45.2,2
2128,Sarjapur  Road,1145.0,2.0,75.0,2
2129,other,1051.0,2.0,33.0,2
2130,Marathahalli,1102.0,2.0,53.67,2
2131,Hebbal,823.0,2.0,50.63,2
2132,Abbigere,880.0,2.0,35.0,2
2133,Budigere,1991.0,4.0,100.0,3
2134,TC Palaya,1100.0,3.0,50.0,3
2135,Gubbalala,1745.0,3.0,115.0,3
2136,other,1100.0,2.0,70.0,2
2137,5th Phase JP Nagar,1450.0,2.0,58.0,2
2138,Singasandra,3366.0,4.0,120.0,4
2139,Sahakara Nagar,1150.0,2.0,54.0,2
2140,Kanakpura Road,1843.0,3.0,95.84,3
2141,Bommanahalli,1090.0,3.0,44.0,2
2142,Kaggadasapura,1132.0,2.0,42.0,2
2143,Hulimavu,1375.0,2.0,80.0,2
2144,Thanisandra,760.0,1.0,50.3,1
2145,Kaggadasapura,1180.0,2.0,65.0,2
2146,Jigani,918.0,2.0,45.0,2
2147,Margondanahalli,1200.0,1.0,53.0,2
2148,HSR Layout,1372.0,2.0,61.0,2
2149,Ardendale,1728.0,3.0,95.0,3
2150,BTM 2nd Stage,1200.0,2.0,80.0,2
2151,6th Phase JP Nagar,1280.0,2.0,56.0,2
2152,other,1455.0,2.0,56.0,3
2153,Rachenahalli,440.0,1.0,28.0,1
2154,Kanakpura Road,1500.0,3.0,97.0,3
2155,Whitefield,1800.0,3.0,110.0,3
2156,Mysore Road,1525.0,3.0,96.0,3
2157,Rachenahalli,1204.0,2.0,38.5,2
2158,Old Madras Road,1225.0,2.0,53.55,2
2159,Bannerghatta Road,1650.0,3.0,122.0,3
2160,other,4200.0,4.0,255.0,4
2161,other,1200.0,2.0,55.0,2
2162,9th Phase JP Nagar,1005.0,2.0,42.0,2
2163,Whitefield,1562.0,3.0,103.0,3
2164,Devanahalli,5000.0,5.0,395.0,4
2165,Ramamurthy Nagar,1200.0,2.0,42.0,2
2166,Kasavanhalli,1555.0,3.0,82.5,3
2167,KR Puram,1550.0,2.0,71.0,2
2168,Whitefield,1190.0,2.0,67.0,2
2169,Chikkalasandra,1070.0,2.0,50.0,2
2170,Jalahalli East,1020.0,2.0,42.48,2
2171,Yelahanka,1610.0,3.0,115.0,3
2172,other,700.0,1.0,41.0,1
2173,other,1300.0,2.0,49.0,3
2174,Hebbal,1069.0,3.0,65.4,3
2175,Marathahalli,1900.0,3.0,123.0,3
2176,Old Airport Road,1655.0,2.0,97.65,2
2177,Uttarahalli,1155.0,2.0,40.42,2
2178,Sarjapur  Road,1300.0,2.0,70.0,3
2179,Electronic City,1100.0,2.0,45.0,2
2180,Doddathoguru,1030.0,2.0,42.0,2
2181,Vittasandra,2105.0,2.0,70.2,2
2182,Bhoganhalli,1700.0,3.0,126.0,3
2183,Jakkur,1760.0,3.0,139.0,3
2184,other,1400.0,2.0,67.0,2
2185,other,1200.0,2.0,53.0,2
2186,Bannerghatta Road,912.0,2.0,55.0,2
2187,Whitefield,1102.0,2.0,48.0,2
2188,other,1535.0,3.0,55.0,3
2189,Haralur Road,1243.0,2.0,46.0,2
2190,Jigani,918.0,2.0,63.2,2
2191,Begur Road,1500.0,2.0,70.0,3
2192,Kasavanhalli,1476.0,3.0,89.0,3
2193,Mysore Road,1200.0,2.0,65.0,2
2194,Vijayanagar,606.0,1.0,34.78,1
2195,other,1100.0,2.0,61.0,2
2196,Garudachar Palya,1295.0,2.0,59.5,3
2197,Neeladri Nagar,527.0,1.0,26.0,1
2198,OMBR Layout,1300.0,2.0,80.0,2
2199,other,1260.0,1.0,41.0,1
2200,Koramangala,1140.0,2.0,75.2,2
2201,Whitefield,2321.0,4.0,128.0,3
2202,Sarjapur  Road,1390.0,2.0,62.0,2
2203,Sarjapur  Road,1725.0,3.0,90.0,3
2204,Hennur Road,1186.0,2.0,63.0,3
2205,Kanakpura Road,1230.0,2.0,85.0,2
2206,other,600.0,1.0,17.0,1
2207,Yeshwanthpur,1313.0,3.0,96.0,3
2208,TC Palaya,900.0,2.0,55.0,2
2209,Ambalipura,1250.0,2.0,66.25,2
2210,Binny Pete,660.0,1.0,54.0,1
2211,Old Madras Road,1100.0,2.0,70.0,2
2212,Electronics City Phase 1,1015.0,2.0,56.0,2
2213,Gottigere,812.0,1.0,26.0,1
2214,other,1360.0,2.0,65.0,3
2215,Nehru Nagar,2167.0,3.0,170.0,3
2216,Raja Rajeshwari Nagar,1200.0,2.0,35.0,2
2217,other,1165.0,2.0,75.0,2
2218,BTM 2nd Stage,1274.0,2.0,70.0,2
2219,Raja Rajeshwari Nagar,1151.0,2.0,39.02,2
2220,Thubarahalli,1626.0,2.0,120.0,3
2221,Banashankari Stage V,1035.0,2.0,35.77,2
2222,other,1272.0,4.0,75.0,3
2223,other,965.0,2.0,45.0,2
2224,Kothannur,1070.0,2.0,42.79,2
2225,Raja Rajeshwari Nagar,1570.0,2.0,65.0,3
2226,other,780.0,2.0,25.0,2
2227,other,1000.0,2.0,65.0,3
2228,5th Phase JP Nagar,1700.0,2.0,100.0,3
2229,Haralur Road,1850.0,3.0,110.0,3
2230,Kereguddadahalli,904.0,2.0,30.0,2
2231,other,1121.0,2.0,43.72,2
2232,7th Phase JP Nagar,1385.0,2.0,58.17,3
2233,Sahakara Nagar,1270.0,2.0,69.85,2
2234,Kanakpura Road,1450.0,3.0,56.0,3
2235,Mahadevpura,730.0,1.0,35.0,1
2236,Raja Rajeshwari Nagar,1580.0,3.0,53.56,3
2237,Thanisandra,1111.0,2.0,50.0,2
2238,Varthur,977.0,2.0,36.0,2
2239,other,674.0,1.0,19.9,2
2240,Sarjapur,2540.0,4.0,115.0,4
2241,Jakkur,1290.0,2.0,100.0,2
2242,Abbigere,795.0,2.0,32.54,2
2243,Kanakpura Road,700.0,1.0,35.0,2
2244,other,1306.0,2.0,58.0,3
2245,other,2401.0,3.0,185.0,3
2246,Bommenahalli,1670.0,3.0,135.0,4
2247,Marsur,1200.0,3.0,90.0,3
2248,Dodda Nekkundi,1804.0,3.0,121.0,3
2249,Hoskote,1225.0,3.0,40.0,3
2250,Thanisandra,1652.5,2.0,58.68,2
2251,Bellandur,900.0,2.0,56.0,2
2252,Binny Pete,1350.0,2.0,91.0,2
2253,Kaggalipura,700.0,1.0,36.0,1
2254,Poorna Pragna Layout,1160.0,2.0,46.39,2
2255,Hennur Road,1680.0,3.0,99.27,3
2256,LB Shastri Nagar,1043.0,2.0,55.0,2
2257,Hebbal,1040.0,2.0,46.0,2
2258,Tindlu,1357.0,2.0,65.0,3
2259,other,1225.0,2.0,47.0,2
2260,Yelachenahalli,1130.0,2.0,40.0,2
2261,Basavangudi,2500.0,4.0,150.0,4
2262,Sultan Palaya,1700.0,3.0,120.0,3
2263,Doddathoguru,1549.0,3.0,65.0,3
2264,Yeshwanthpur,1400.0,2.0,100.0,2
2265,Dodda Nekkundi,1080.0,2.0,50.0,2
2266,Haralur Road,1225.0,2.0,67.38,2
2267,Abbigere,1005.0,2.0,39.59,2
