,location,total_sqft,bath,price,bhk,encoded_loc
1265,Shampura,1200.0,2.0,53.0,2,208
1266,Kengeri,1200.0,2.0,58.0,2,139
1267,Nagarbhavi,2400.0,3.0,160.0,3,174
1268,Marathahalli,1469.0,3.0,89.0,3,165
1269,Kanakapura,551.0,1.0,30.0,1,130
1270,Electronics City Phase 1,1160.0,2.0,52.0,2,79
1271,Balagere,1205.0,2.0,78.5,2,28
1272,Kasavanhalli,1550.0,2.0,52.0,3,134
1273,Gubbalala,1745.0,3.0,125.0,3,87
1274,AECS Layout,1028.0,2.0,42.0,2,10
1275,Karuna Nagar,1200.0,2.0,34.0,3,133
1276,other,1100.0,2.0,50.0,2,240
1277,Ramamurthy Nagar,1200.0,3.0,72.0,2,197
1278,other,1269.72,2.0,68.0,2,240
1279,Electronic City Phase II,1266.0,2.0,59.0,2,78
1280,Mysore Road,1060.0,2.0,62.0,2,171
1281,other,1168.0,3.0,70.0,3,240
1282,other,1552.0,2.0,51.0,2,240
1283,Talaghattapura,2940.5,3.0,120.0,3,217
1284,Attibele,500.0,1.0,17.0,1,22
1285,Hulimavu,1080.0,2.0,43.2,2,108
1286,other,2100.0,4.0,155.0,4,240
1287,other,1300.0,2.0,65.0,2,240
1288,Electronics City Phase 1,920.0,2.0,33.0,2,79
1289,Harlur,1310.0,2.0,50.0,2,94
1290,Horamavu Agara,1650.0,2.0,75.0,3,101
1291,other,1515.0,3.0,93.93,3,240
1292,Raja Rajeshwari Nagar,1157.0,2.0,53.8,2,193
1293,other,2400.0,5.0,85.0,4,240
1294,Konanakunte,3000.0,4.0,160.0,4,147
1295,Basavangudi,2200.0,2.0,162.0,3,38
1296,other,1243.0,2.0,58.0,2,240
1297,Rachenahalli,1530.0,2.0,74.39,3,192
1298,Judicial Layout,2070.0,3.0,162.0,3,118
1299,Yelahanka,1815.0,3.0,82.0,3,236
1300,Sarjapur  Road,3900.0,4.0,300.0,4,203
1301,Electronic City Phase II,1000.0,2.0,28.88,2,78
1302,Hennur Road,1232.0,2.0,89.0,2,99
1303,Yelahanka,654.0,1.0,38.4,1,236
1304,Bannerghatta Road,1181.0,2.0,55.0,2,37
1305,Bisuvanahalli,1075.0,2.0,45.0,3,49
1306,other,1616.0,3.0,75.0,3,240
1307,Whitefield,1306.0,3.0,54.65,3,234
1308,Whitefield,1626.0,3.0,89.0,3,234
1309,other,2700.0,4.0,214.0,6,240
1310,Whitefield,1585.0,3.0,88.0,3,234
1311,7th Phase JP Nagar,1370.0,2.0,56.17,2,7
1312,Kanakpura Road,1495.0,2.0,90.0,2,131
1313,Bannerghatta,1375.0,3.0,57.0,3,36
1314,Kereguddadahalli,1400.0,2.0,48.0,3,141
1315,Whitefield,995.0,2.0,28.585,1,234
1316,Yelahanka,1150.0,2.0,46.0,2,236
1317,Hebbal,1080.0,2.0,54.0,2,95
1318,Kaikondrahalli,1645.0,3.0,100.0,3,124
1319,other,595.0,1.0,42.0,1,240
1320,JP Nagar,6624.5,4.0,314.5,4,113
1321,other,1410.0,2.0,67.0,2,240
1322,other,1090.0,2.0,31.48,2,240
1323,Ramagondanahalli,540.0,1.0,30.0,1,196
1324,Sarjapur  Road,1300.0,2.0,60.0,2,203
1325,9th Phase JP Nagar,1890.0,2.0,85.0,3,9
1326,other,1254.0,2.0,53.0,2,240
1327,Kathriguppe,1245.0,2.0,68.48,3,136
1328,other,1170.0,2.0,86.0,2,240
1329,Panathur,1193.0,2.0,86.0,2,186
1330,Chandapura,850.0,2.0,25.4,2,58
1331,Marathahalli,1678.0,3.0,70.0,3,165
1332,Gunjur,1600.0,3.0,75.0,3,88
1333,Electronics City Phase 1,1750.0,3.0,84.0,3,79
1334,Whitefield,1125.0,2.0,62.0,2,234
1335,HBR Layout,2800.0,2.0,200.0,3,90
1336,other,1000.0,2.0,50.0,2,240
1337,Electronic City Phase II,1320.0,2.0,38.13,3,78
1338,Ardendale,2422.0,4.0,160.0,4,20
1339,Kasavanhalli,1100.0,2.0,50.0,2,134
1340,Uttarahalli,882.0,2.0,30.0,2,225
1341,Bisuvanahalli,845.0,2.0,37.0,2,49
1342,Kambipura,883.0,2.0,39.0,2,127
1343,Thanisandra,1086.5,2.0,48.145,1,218
1344,Brookefield,1595.0,3.0,88.0,3,54
1345,Whitefield,1280.0,2.0,85.0,2,234
1346,other,920.0,2.0,35.0,2,240
1347,Choodasandra,1300.0,2.0,57.0,2,63
1348,Harlur,1757.0,3.0,132.0,3,94
1349,other,2400.0,3.0,142.0,4,240
1350,Sarjapur,1240.0,2.0,44.0,2,202
1351,EPIP Zone,1330.0,2.0,93.36,2,76
1352,8th Phase JP Nagar,1062.0,2.0,42.47,2,8
1353,JP Nagar,1078.0,2.0,45.0,2,113
1354,Bannerghatta Road,1460.0,2.0,72.0,3,37
1355,Whitefield,1200.0,3.0,68.5,3,234
1356,Laggere,1200.0,1.0,48.0,1,156
1357,Kammasandra,912.0,2.0,39.0,3,129
1358,Prithvi Layout,2028.0,4.0,162.0,4,190
1359,Mysore Road,980.0,2.0,45.47,2,171
1360,Sarjapur  Road,1000.0,2.0,40.0,2,203
1361,Sarjapur  Road,1050.0,2.0,62.0,2,203
1362,Domlur,1875.0,2.0,150.0,3,74
1363,Hennur Road,1065.0,2.0,42.6,2,99
1364,Tumkur Road,1098.0,2.0,72.0,2,223
1365,5th Phase JP Nagar,1725.0,2.0,100.0,3,5
1366,Whitefield,4000.0,4.0,330.0,4,234
1367,Thubarahalli,1128.0,2.0,75.0,2,220
1368,Yelahanka,1705.0,3.0,74.16,3,236
1369,Thigalarapalya,1418.0,2.0,95.0,2,219
1370,Hebbal,1100.0,2.0,50.0,2,95
1371,other,1464.0,3.0,56.0,3,240
1372,Hebbal,812.0,2.0,55.0,2,95
1373,Binny Pete,4165.0,2.0,204.0,4,48
1374,other,1280.0,2.0,40.0,2,240
1375,Old Airport Road,2774.0,4.0,207.0,4,182
1376,other,2000.0,3.0,85.0,3,240
1377,HBR Layout,1722.0,3.0,95.0,3,90
1378,other,840.0,2.0,27.0,2,240
1379,Jigani,914.0,2.0,47.0,2,117
1380,Hennur Road,1482.0,2.0,83.73,3,99
1381,Kundalahalli,1724.0,3.0,127.0,3,154
1382,other,1670.0,3.0,91.86,3,240
1383,Banaswadi,1184.0,2.0,53.0,2,34
1384,Kodigehaali,1200.0,2.0,55.0,2,143
1385,TC Palaya,1200.0,2.0,65.0,2,216
1386,Jigani,927.0,2.0,55.0,2,117
1387,other,1242.0,2.0,39.7,2,240
1388,Electronic City Phase II,1220.0,3.0,35.23,3,78
1389,Electronic City,1360.0,2.0,75.0,3,77
1390,7th Phase JP Nagar,1180.0,2.0,72.0,2,7
1391,Whitefield,1697.0,3.0,108.0,3,234
1392,Hennur,1225.0,2.0,57.0,2,98
1393,other,1690.0,2.0,55.0,3,240
1394,other,1488.0,3.0,57.0,3,240
1395,other,1250.0,2.0,80.0,3,240
1396,JP Nagar,1050.0,1.0,44.0,1,113
1397,HSR Layout,1027.0,2.0,44.0,2,92
1398,Kanakpura Road,1699.0,3.0,81.94,3,131
1399,Whitefield,1205.0,2.0,58.0,2,234
1400,Horamavu Agara,950.0,2.0,39.0,2,101
1401,TC Palaya,1200.0,2.0,70.0,2,216
1402,Akshaya Nagar,1476.0,3.0,120.0,3,12
1403,CV Raman Nagar,1070.0,2.0,55.0,2,56
1404,EPIP Zone,2160.0,4.0,172.0,3,76
1405,Sector 2 HSR Layout,1296.0,2.0,75.0,2,205
1406,Chikkalasandra,1800.0,1.0,128.0,2,62
1407,Kanakpura Road,1570.0,3.0,64.5,3,131
1408,Sarjapur,1550.0,2.0,65.0,4,202
1409,Electronic City,770.0,1.0,40.0,2,77
1410,Jalahalli,1870.0,3.0,110.0,3,115
1411,Domlur,1429.0,3.0,86.0,3,74
1412,Babusapalaya,1167.0,2.0,39.98,3,26
1413,Bommasandra,1035.0,2.0,41.73,2,51
1414,Kengeri,1188.0,2.0,38.0,3,139
1415,Nagarbhavi,884.0,2.0,36.0,1,174
1416,Haralur Road,1194.0,2.0,46.0,2,93
1417,Hoodi,1026.0,2.0,60.87,2,100
1418,Kaikondrahalli,1115.0,2.0,50.0,2,124
1419,Old Airport Road,2690.0,4.0,191.0,4,182
1420,Subramanyapura,975.0,2.0,58.0,2,214
1421,OMBR Layout,1101.0,2.0,65.5,2,181
1422,Sarjapur  Road,1700.0,3.0,135.0,3,203
1423,Kanakpura Road,1560.0,3.0,92.0,3,131
1424,Hebbal,2790.0,4.0,198.0,4,95
1425,Badavala Nagar,1494.0,2.0,94.55,3,27
1426,Hennur Road,1482.0,2.0,87.0,3,99
1427,other,800.0,2.0,50.0,2,240
1428,Raja Rajeshwari Nagar,1185.0,2.0,47.39,2,193
1429,Hulimavu,1100.0,2.0,71.5,2,108
1430,Hulimavu,1758.0,3.0,65.0,3,108
1431,Banaswadi,1145.0,2.0,55.0,2,34
1432,Hormavu,1180.0,2.0,50.0,2,103
1433,other,1260.0,2.0,58.0,2,240
1434,Yelahanka,5186.0,2.0,173.0,4,236
1435,Arekere,1190.0,2.0,55.0,2,21
1436,Sarjapur  Road,1691.0,3.0,119.0,3,203
1437,Frazer Town,1305.0,3.0,95.45,3,80
1438,Kogilu,1140.0,2.0,50.66,2,146
1439,other,1250.0,2.0,65.0,2,240
1440,other,1225.0,2.0,48.0,2,240
1441,Kereguddadahalli,800.0,2.0,28.0,2,141
1442,Jalahalli East,1020.0,2.0,58.0,2,116
1443,other,1350.0,2.0,80.0,2,240
1444,Anekal,925.0,2.0,40.0,2,18
1445,other,2000.0,3.0,100.0,3,240
1446,Frazer Town,1510.0,2.0,75.0,3,80
1447,other,1614.0,3.0,110.0,3,240
1448,Gottigere,1200.0,2.0,95.0,2,85
1449,TC Palaya,900.0,2.0,55.0,2,216
1450,OMBR Layout,1041.0,2.0,65.5,2,181
1451,Marathahalli,1530.0,3.0,74.5,3,165
1452,Bannerghatta Road,1200.0,2.0,75.0,2,37
1453,Hosur Road,1508.0,2.0,110.0,3,107
1454,other,1188.0,2.0,73.0,2,240
1455,Old Airport Road,2690.0,4.0,199.0,4,182
1456,Harlur,1174.0,2.0,76.0,2,94
1457,Old Madras Road,1350.0,3.0,58.99,3,183
1458,Kengeri,726.0,2.0,31.0,2,139
1459,Hosur Road,1345.0,2.0,106.0,2,107
1460,Begur Road,1200.0,2.0,45.0,2,42
1461,Nagavarapalya,980.0,2.0,37.0,2,177
1462,Hormavu,1050.0,2.0,77.0,2,103
1463,Uttarahalli,993.0,2.0,39.71,2,225
1464,7th Phase JP Nagar,1300.0,2.0,52.0,3,7
1465,Vittasandra,1743.0,3.0,85.0,3,233
1466,Hormavu,1200.0,2.0,67.0,2,103
1467,other,1480.0,3.0,90.0,3,240
1468,Sarjapur,950.0,2.0,32.5,2,202
1469,Electronic City Phase II,972.0,2.0,44.0,2,78
1470,Marathahalli,1840.0,3.0,98.0,3,165
1471,Electronic City,1128.0,2.0,64.0,2,77
1472,other,680.0,2.0,42.0,2,240
1473,other,2400.0,2.0,95.0,2,240
1474,other,1045.0,2.0,42.0,2,240
1475,other,955.0,2.0,53.55,2,240
1476,Doddakallasandra,1360.0,2.0,54.39,3,72
1477,BTM Layout,1150.0,2.0,63.0,2,25
1478,other,1115.0,2.0,56.87,2,240
1479,Jigani,920.0,2.0,46.0,2,117
1480,Bommasandra Industrial Area,1030.0,2.0,41.0,2,52
1481,Thanisandra,1564.0,3.0,101.0,3,218
1482,Uttarahalli,1045.0,2.0,45.0,2,225
1483,Hegde Nagar,1200.0,4.0,83.0,4,97
1484,Subramanyapura,1277.0,2.0,55.0,2,214
1485,Sarjapur  Road,1846.0,3.0,140.0,3,203
1486,other,1690.0,3.0,75.0,3,240
1487,Hormavu,1200.0,3.0,70.0,2,103
1488,Yelahanka,3042.0,4.0,131.0,4,236
1489,other,1068.0,2.0,40.05,2,240
1490,Kanakpura Road,1135.0,2.0,58.0,2,131
1491,other,1925.0,3.0,120.0,3,240
1492,Begur Road,1615.0,3.0,60.0,3,42
1493,other,650.0,1.0,26.0,1,240
1494,Kaggadasapura,1150.0,2.0,42.0,2,122
1495,other,1410.0,2.0,45.12,3,240
1496,Tumkur Road,1354.0,3.0,90.0,3,223
1497,Arekere,600.0,1.0,28.0,1,21
1498,Koramangala,1600.0,3.0,88.0,3,148
1499,GM Palaya,1000.0,2.0,36.0,2,81
1500,other,1130.0,3.0,38.0,3,240
1501,Vittasandra,1238.0,2.0,67.0,2,233
1502,Kudlu Gate,1364.0,2.0,46.38,3,152
1503,other,900.0,2.0,45.0,2,240
1504,Gubbalala,1745.0,3.0,104.0,3,87
1505,Kogilu,1200.0,2.0,53.33,2,146
1506,Kanakapura,1020.0,2.0,42.83,2,130
1507,Banashankari Stage III,1650.0,3.0,118.0,3,31
1508,other,1550.0,2.0,70.0,3,240
1509,5th Phase JP Nagar,1440.0,2.0,60.0,2,5
1510,Sarjapura - Attibele Road,1329.0,2.0,45.95,3,204
1511,other,916.0,2.0,42.0,2,240
1512,Hulimavu,688.0,1.0,50.0,1,108
1513,other,1358.0,3.0,50.0,3,240
1514,Kanakpura Road,1331.0,2.0,107.0,2,131
1515,Hoodi,1050.0,2.0,50.0,2,100
1516,Talaghattapura,2106.0,3.0,126.0,3,217
1517,Bhoganhalli,1718.0,3.0,90.2,3,46
1518,Raja Rajeshwari Nagar,1530.0,3.0,57.0,3,193
1519,5th Block Hbr Layout,1206.0,2.0,56.0,2,4
1520,Hebbal,1075.0,2.0,52.0,2,95
1521,Sarjapur  Road,1200.0,3.0,95.0,3,203
1522,Nagavara,2172.65,3.0,120.0,4,176
1523,Sahakara Nagar,1100.0,2.0,75.0,3,199
1524,other,1685.0,2.0,110.0,3,240
1525,CV Raman Nagar,740.0,2.0,37.0,2,56
1526,Magadi Road,1500.0,2.0,93.0,4,159
1527,Banashankari,1800.0,3.0,115.0,3,29
1528,Yelachenahalli,1700.0,3.0,130.0,3,235
1529,Uttarahalli,850.0,2.0,37.93,2,225
1530,Hennur Road,1891.0,3.0,139.0,3,99
1531,Jalahalli,1400.0,1.0,80.0,2,115
1532,Lakshminarayana Pura,1172.0,2.0,82.0,2,157
1533,Electronic City Phase II,1400.0,2.0,40.43,3,78
1534,Sonnenahalli,896.0,2.0,43.75,2,213
1535,Vijayanagar,1180.0,2.0,65.0,2,230
1536,other,850.0,2.0,33.0,2,240
1537,Anekal,530.0,1.0,18.0,1,18
1538,other,1550.0,3.0,110.0,3,240
1539,Kanakapura,1699.0,3.0,97.0,3,130
1540,Bellandur,2025.0,4.0,109.0,4,43
1541,other,500.0,1.0,20.0,1,240
1542,other,1146.0,2.0,38.5,2,240
1543,Seegehalli,800.0,1.0,50.0,2,207
1544,Abbigere,765.0,2.0,30.0,1,11
1545,Lingadheeranahalli,1521.0,3.0,94.99,3,158
1546,Gottigere,1600.0,2.0,55.0,3,85
1547,other,1765.0,3.0,105.0,3,240
1548,Kasavanhalli,1980.0,3.0,88.0,3,134
1549,Amruthahalli,1900.0,3.0,135.0,3,15
1550,other,1265.0,2.0,70.0,2,240
1551,Bommasandra,1034.0,2.0,40.0,2,51
1552,other,1012.0,2.0,59.0,2,240
1553,Electronic City,1070.0,2.0,54.0,2,77
1554,Mahadevpura,3555.0,4.0,230.0,4,160
1555,5th Block Hbr Layout,1270.0,2.0,70.0,3,4
1556,other,2045.0,4.0,154.0,3,240
1557,Bellandur,1490.0,2.0,98.0,3,43
1558,Mysore Road,883.0,2.0,40.0,2,171
1559,Yeshwanthpur,671.0,1.0,36.85,1,239
1560,Haralur Road,2017.0,3.0,125.0,3,93
1561,Ramagondanahalli,1635.0,3.0,62.0,3,196
1562,Kanakpura Road,1296.0,2.0,89.0,2,131
1563,Budigere,1139.0,2.0,62.0,2,55
1564,CV Raman Nagar,1230.0,3.0,47.0,2,56
1565,other,581.91,2.0,25.0,1,240
1566,Binny Pete,1245.0,2.0,86.28,2,48
1567,other,1158.0,2.0,85.0,3,240
1568,Marathahalli,3951.0,4.0,220.0,4,165
1569,Ramamurthy Nagar,360.0,1.0,26.0,1,197
1570,Electronics City Phase 1,1350.0,3.0,55.0,3,79
1571,Green Glen Layout,1670.0,3.0,120.0,3,86
1572,Akshaya Nagar,1600.0,2.0,65.0,3,12
1573,Horamavu Banaswadi,1307.0,2.0,51.6,2,102
1574,7th Phase JP Nagar,1050.0,2.0,57.0,3,7
1575,Hennur Road,1703.0,3.0,101.0,3,99
1576,Kaggalipura,1210.0,2.0,58.0,3,123
1577,Electronic City,1025.0,2.0,29.6,2,77
1578,Haralur Road,1140.0,2.0,43.0,2,93
1579,7th Phase JP Nagar,1343.0,2.0,56.41,3,7
1580,R.T. Nagar,1560.0,3.0,85.0,3,191
1581,other,925.0,2.0,51.0,2,240
1582,Kanakpura Road,1420.0,2.0,75.0,3,131
1583,other,1415.0,2.0,110.0,2,240
1584,other,1210.0,2.0,60.0,2,240
1585,Hoskote,1250.0,3.0,50.0,3,106
1586,9th Phase JP Nagar,1100.0,2.0,65.0,2,9
1587,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,2
1588,Jakkur,1100.0,2.0,53.35,2,114
1589,Magadi Road,1350.0,1.0,100.0,2,159
1590,Panathur,1546.0,3.0,99.0,3,186
1591,Ambedkar Nagar,1424.0,2.0,90.0,2,14
1592,Bellandur,1398.0,3.0,68.0,3,43
1593,Brookefield,1476.0,3.0,105.0,3,54
1594,Magadi Road,1322.0,2.0,58.82,3,159
1595,other,1100.0,2.0,55.0,2,240
1596,Sarjapur,1285.0,2.0,68.0,3,202
1597,Ambalipura,1150.0,2.0,80.0,2,13
1598,Thanisandra,1430.0,2.0,56.0,3,218
1599,Marathahalli,1350.0,2.0,62.0,3,165
1600,Thubarahalli,1185.0,2.0,65.0,2,220
1601,Bannerghatta Road,1760.0,3.0,67.0,3,37
1602,Kanakpura Road,900.0,2.0,41.0,2,131
1603,Kanakpura Road,1297.0,2.0,105.0,2,131
1604,Ramamurthy Nagar,950.0,2.0,50.79,2,197
1605,BTM 2nd Stage,950.0,2.0,52.0,2,24
1606,Yeshwanthpur,1902.5,2.0,95.815,2,239
1607,Electronic City,1571.0,3.0,89.0,3,77
1608,Electronic City Phase II,1031.0,2.0,55.0,2,78
1609,Whitefield,1485.0,2.0,90.0,2,234
1610,Ananth Nagar,1109.0,2.0,60.0,2,17
1611,Koramangala,2200.0,3.0,180.0,3,148
1612,Whitefield,950.0,1.0,50.0,1,234
1613,Hosa Road,1161.0,2.0,55.15,2,104
1614,Electronic City Phase II,1003.0,2.0,40.6,2,78
1615,9th Phase JP Nagar,1080.0,2.0,37.0,2,9
1616,Hulimavu,1255.0,2.0,73.0,2,108
1617,Banaswadi,1250.0,2.0,60.0,2,34
1618,Ramamurthy Nagar,1200.0,2.0,66.0,3,197
1619,other,824.0,2.0,60.0,2,240
1620,Bommasandra Industrial Area,1320.0,2.0,38.12,3,52
1621,Kothanur,9600.0,5.0,550.0,5,150
1622,Uttarahalli,1330.0,2.0,47.0,3,225
1623,Kaikondrahalli,1220.0,3.0,56.0,3,124
1624,Electronic City,1111.0,3.0,50.0,3,77
1625,Kothannur,1197.0,2.0,47.88,2,149
1626,Marathahalli,2519.0,5.0,185.0,4,165
1627,other,1340.0,2.0,100.0,3,240
1628,Hoodi,1837.0,3.0,145.0,3,100
1629,Kudlu Gate,1238.0,2.0,55.0,2,152
1630,7th Phase JP Nagar,1405.0,2.0,59.01,3,7
1631,Doddaballapur,1690.0,3.0,80.0,4,71
1632,other,1620.0,2.0,110.0,3,240
1633,Kanakpura Road,1673.0,3.0,115.0,3,131
1634,Margondanahalli,1090.0,2.0,58.0,2,166
1635,Varthur,1112.0,2.0,40.0,2,226
1636,Marathahalli,1385.0,2.0,66.65,3,165
1637,Subramanyapura,985.0,2.0,58.0,2,214
1638,Kanakpura Road,1160.0,1.0,36.29,1,131
1639,Kanakpura Road,1080.0,2.0,37.8,2,131
1640,Hosa Road,1430.0,2.0,97.52,2,104
1641,Kengeri Satellite Town,1050.0,2.0,43.0,2,140
1642,Kumaraswami Layout,2000.0,4.0,139.0,4,153
1643,Banashankari Stage VI,4800.0,4.0,190.0,4,33
1644,other,1533.0,3.0,115.0,3,240
1645,TC Palaya,1200.0,2.0,66.0,3,216
1646,Prithvi Layout,1352.0,2.0,87.5,2,190
1647,Harlur,1754.0,3.0,125.0,3,94
1648,other,1560.0,3.0,85.0,3,240
1649,Whitefield,3584.0,4.0,199.0,4,234
1650,Channasandra,1470.0,2.0,90.0,3,59
1651,9th Phase JP Nagar,1035.0,2.0,45.0,2,9
1652,Kammanahalli,1160.0,2.0,52.0,2,128
1653,Jakkur,1100.0,2.0,52.0,2,114
1654,Horamavu Agara,1170.0,2.0,38.0,2,101
1655,Bannerghatta Road,595.0,1.0,31.83,1,37
1656,HSR Layout,1650.0,3.0,110.0,3,92
1657,other,1375.0,2.0,48.06,3,240
1658,Ramagondanahalli,1235.0,2.0,46.8,2,196
1659,other,750.0,1.0,25.0,1,240
1660,7th Phase JP Nagar,1400.0,3.0,115.0,3,7
1661,Poorna Pragna Layout,1270.0,2.0,50.79,3,189
1662,Bannerghatta Road,1105.0,2.0,51.0,2,37
1663,other,1375.0,2.0,85.0,3,240
1664,Attibele,2168.0,4.0,95.0,4,22
1665,Yelahanka,1065.0,2.0,40.84,2,236
1666,Whitefield,825.0,1.0,45.0,1,234
1667,other,1095.0,2.0,40.0,2,240
1668,other,1440.0,2.0,60.33,3,240
1669,Electronic City,870.0,2.0,39.5,2,77
1670,Panathur,1195.0,2.0,84.0,2,186
1671,other,1200.0,2.0,49.5,2,240
1672,Raja Rajeshwari Nagar,1530.0,3.0,61.2,3,193
1673,Padmanabhanagar,1708.0,2.0,90.5,3,184
1674,other,975.0,2.0,43.0,2,240
1675,KR Puram,750.0,2.0,25.0,2,119
1676,Iblur Village,1920.0,3.0,130.0,3,111
1677,Thanisandra,1183.0,2.0,58.56,2,218
1678,Mico Layout,1550.0,2.0,65.0,3,168
1679,Kaggadasapura,1110.0,2.0,53.0,2,122
1680,Kaggadasapura,1105.0,2.0,38.67,2,122
1681,Anekal,1800.0,3.0,68.0,3,18
1682,other,2800.0,4.0,200.0,5,240
1683,Bommanahalli,1000.0,2.0,29.9,2,50
1684,Prithvi Layout,1190.0,2.0,68.0,2,190
1685,Hebbal,3067.0,4.0,230.0,4,95
1686,Sarjapur  Road,1929.0,4.0,103.0,3,203
1687,Ramamurthy Nagar,1525.0,3.0,100.0,3,197
1688,Nehru Nagar,1775.0,3.0,110.0,3,180
1689,Banashankari,1125.0,2.0,63.0,2,29
1690,other,900.0,2.0,42.0,2,240
1691,Sarjapur  Road,1155.0,2.0,58.0,2,203
1692,Hulimavu,1200.0,4.0,75.0,4,108
1693,Sonnenahalli,1268.0,2.0,73.0,2,213
1694,other,1500.0,3.0,88.0,3,240
1695,Electronic City,630.0,1.0,47.0,1,77
1696,Seegehalli,1525.0,3.0,65.0,3,207
1697,Kaggadasapura,1060.0,2.0,48.0,2,122
1698,Lingadheeranahalli,1687.0,3.0,127.0,3,158
1699,Thanisandra,1847.0,3.0,123.0,3,218
1700,Begur Road,1410.0,2.0,53.0,3,42
1701,7th Phase JP Nagar,1075.0,2.0,42.99,2,7
1702,other,1010.0,2.0,46.0,2,240
1703,Haralur Road,1875.0,3.0,110.0,3,93
1704,Kanakpura Road,983.0,2.0,50.6,2,131
1705,Kasturi Nagar,1101.0,2.0,65.0,2,135
1706,other,1140.0,2.0,76.0,2,240
1707,Kengeri Satellite Town,1007.0,2.0,42.0,2,140
1708,Bellandur,2039.0,3.0,168.0,3,43
1709,other,1198.0,2.0,84.0,2,240
1710,other,1370.0,2.0,75.0,2,240
1711,other,1316.0,2.0,55.5,2,240
1712,Kaggadasapura,1350.0,3.0,55.5,3,122
1713,other,1050.0,2.0,43.0,2,240
1714,KR Puram,1631.275,3.0,47.405,3,119
1715,Electronic City,921.0,2.0,34.0,2,77
1716,Kundalahalli,1010.0,2.0,49.27,2,154
1717,KR Puram,1015.0,2.0,43.0,2,119
1718,TC Palaya,1200.0,2.0,66.5,3,216
1719,Lakshminarayana Pura,1179.0,2.0,75.0,2,157
1720,Anjanapura,1850.0,4.0,86.0,4,19
1721,Bellandur,1605.0,3.0,85.0,3,43
1722,Banashankari Stage VI,2800.0,4.0,89.0,4,33
1723,other,2400.0,7.0,110.0,6,240
1724,other,1000.0,1.0,55.0,2,240
1725,Ramamurthy Nagar,1200.0,2.0,80.0,2,197
1726,Kammasandra,1200.0,2.0,66.0,2,129
1727,other,1200.0,2.0,50.0,2,240
1728,Hennur,1255.0,2.0,57.5,2,98
1729,Kanakpura Road,1592.0,3.0,125.0,3,131
1730,other,1313.0,2.0,58.27,2,240
1731,Kogilu,1934.0,3.0,150.0,3,146
1732,Harlur,1200.0,2.0,49.5,2,94
1733,Uttarahalli,3600.0,6.0,120.0,6,225
1734,Old Madras Road,935.0,2.0,45.0,2,183
1735,Bommasandra,877.0,2.0,30.0,2,51
1736,other,936.0,2.0,42.0,2,240
1737,Nagasandra,1470.0,2.0,110.0,3,175
1738,other,1050.0,1.0,70.0,1,240
1739,Hennur Road,1232.0,2.0,69.61,2,99
1740,Ambedkar Nagar,2225.0,4.0,169.0,3,14
1741,other,1200.0,2.0,80.0,3,240
1742,Dasarahalli,1901.0,3.0,119.0,3,67
1743,Sarjapur  Road,1819.0,3.0,100.0,3,203
1744,other,1464.0,3.0,56.0,3,240
1745,9th Phase JP Nagar,5000.0,4.0,290.0,4,9
1746,other,1256.0,2.0,60.0,2,240
1747,7th Phase JP Nagar,1100.0,2.0,44.0,2,7
1748,TC Palaya,4800.0,3.0,302.0,4,216
1749,Kothanur,1435.0,3.0,70.0,3,150
1750,6th Phase JP Nagar,3245.0,4.0,250.0,4,6
1751,Sarjapur  Road,1845.0,4.0,110.0,3,203
1752,Jigani,2400.0,4.0,130.0,3,117
1753,HSR Layout,1140.0,2.0,46.0,2,92
1754,Ulsoor,1200.0,2.0,60.0,2,224
1755,Talaghattapura,2254.0,3.0,170.0,3,217
1756,other,1020.0,2.0,37.0,2,240
1757,Bommanahalli,515.0,1.0,25.0,1,50
1758,Lingadheeranahalli,1893.0,3.0,140.0,3,158
1759,other,830.0,2.0,34.0,2,240
1760,Singasandra,600.0,2.0,36.5,2,210
1761,Kasavanhalli,1200.0,2.0,78.0,2,134
1762,Sarjapur  Road,1233.0,2.0,77.65,2,203
1763,Bannerghatta Road,1255.0,2.0,65.26,2,37
1764,Begur Road,1200.0,2.0,37.8,2,42
1765,Varthur,2145.0,3.0,175.0,3,226
1766,1st Phase JP Nagar,1500.0,5.0,85.0,5,1
1767,Kothannur,740.0,2.0,34.0,2,149
1768,Kengeri,1250.0,3.0,48.0,3,139
1769,other,1210.0,2.0,40.0,2,240
1770,Sarjapur  Road,1525.0,2.0,60.0,3,203
1771,Kogilu,540.0,1.0,36.0,1,146
1772,Tumkur Road,1240.0,2.0,84.0,3,223
1773,Subramanyapura,1245.0,2.0,68.0,3,214
1774,Bisuvanahalli,1075.0,2.0,35.99,3,49
1775,Whitefield,1155.0,2.0,60.0,2,234
1776,other,1520.0,2.0,62.0,2,240
1777,Harlur,1290.0,2.0,85.0,2,94
1778,other,2300.0,3.0,80.0,3,240
1779,Kannamangala,3000.0,4.0,200.0,4,132
1780,other,400.0,1.0,14.0,1,240
1781,Banashankari,1340.0,2.0,53.6,3,29
1782,Hennur Road,987.0,2.0,49.0,2,99
1783,Old Madras Road,1720.0,3.0,100.0,3,183
1784,Hebbal,1040.0,2.0,50.0,2,95
1785,Anandapura,900.0,2.0,64.0,2,16
1786,Raja Rajeshwari Nagar,1030.0,2.0,50.0,2,193
1787,Neeladri Nagar,2556.0,3.0,133.0,3,179
